Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.9099999999999999,0.01,0.4917037697040732
75% Corpus,4,0.9099999999999999,0.31,0.49312868497108936
75% Corpus,4,0.9099999999999999,0.61,0.4724465995133024
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.41224020878823775
75% Corpus,4,0.9099999999999999,symmetric,0.49877197878339324
75% Corpus,4,symmetric,0.01,0.4396985595156341
75% Corpus,4,symmetric,0.31,0.463588562389635
75% Corpus,4,symmetric,0.61,0.43772165523724105
75% Corpus,4,symmetric,0.9099999999999999,0.43848179556091826
75% Corpus,4,symmetric,symmetric,0.46280516612378714
75% Corpus,4,asymmetric,0.01,0.4078776078329619
75% Corpus,4,asymmetric,0.31,0.3417574569179258
75% Corpus,4,asymmetric,0.61,0.39939479071228584
75% Corpus,4,asymmetric,0.9099999999999999,0.5132619746478931
75% Corpus,4,asymmetric,symmetric,0.34123526707057683
75% Corpus,5,0.01,0.01,0.38618940624499587
75% Corpus,5,0.01,0.31,0.41718218412403035
75% Corpus,5,0.01,0.61,0.4199885156233523
75% Corpus,5,0.01,0.9099999999999999,0.40014660709401717
75% Corpus,5,0.01,symmetric,0.43272118054218717
75% Corpus,5,0.31,0.01,0.422295458302645
75% Corpus,5,0.31,0.31,0.410377427045902
75% Corpus,5,0.31,0.61,0.414398000524113
75% Corpus,5,0.31,0.9099999999999999,0.42444274759935585
75% Corpus,5,0.31,symmetric,0.42406903632051457
75% Corpus,5,0.61,0.01,0.45107776243861253
75% Corpus,5,0.61,0.31,0.4415686644545603
75% Corpus,5,0.61,0.61,0.4591928100247342
75% Corpus,5,0.61,0.9099999999999999,0.44312639048966884
75% Corpus,5,0.61,symmetric,0.4304088887755929
75% Corpus,5,0.9099999999999999,0.01,0.45720770964595625
75% Corpus,5,0.9099999999999999,0.31,0.4648895619964348
75% Corpus,5,0.9099999999999999,0.61,0.4288462238179768
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.40445469638833487
75% Corpus,5,0.9099999999999999,symmetric,0.46060910990555
75% Corpus,5,symmetric,0.01,0.4159480045969426
75% Corpus,5,symmetric,0.31,0.4140560560100382
75% Corpus,5,symmetric,0.61,0.43180061838965933
75% Corpus,5,symmetric,0.9099999999999999,0.42844229397918304
75% Corpus,5,symmetric,symmetric,0.42250029138814266
75% Corpus,5,asymmetric,0.01,0.4393120331922814
75% Corpus,5,asymmetric,0.31,0.31359609611104816
75% Corpus,5,asymmetric,0.61,0.2512699198016862
75% Corpus,5,asymmetric,0.9099999999999999,0.3113782397378775
75% Corpus,5,asymmetric,symmetric,0.34710561481311286
75% Corpus,6,0.01,0.01,0.4165565409351582
75% Corpus,6,0.01,0.31,0.4051765751982577
75% Corpus,6,0.01,0.61,0.42003777550160887
75% Corpus,6,0.01,0.9099999999999999,0.4204681246299172
75% Corpus,6,0.01,symmetric,0.4188165352757202
75% Corpus,6,0.31,0.01,0.4433460691193532
75% Corpus,6,0.31,0.31,0.42747548108102523
75% Corpus,6,0.31,0.61,0.4149462439219562
75% Corpus,6,0.31,0.9099999999999999,0.4096930596411057
75% Corpus,6,0.31,symmetric,0.4321132734244543
75% Corpus,6,0.61,0.01,0.42673198573733556
75% Corpus,6,0.61,0.31,0.4407474568293819
75% Corpus,6,0.61,0.61,0.45504886471250655
75% Corpus,6,0.61,0.9099999999999999,0.4304346168350597
75% Corpus,6,0.61,symmetric,0.4286767313251054
75% Corpus,6,0.9099999999999999,0.01,0.42665684032108125
75% Corpus,6,0.9099999999999999,0.31,0.4399878188420738
75% Corpus,6,0.9099999999999999,0.61,0.42375119167499503
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4100864850250787
75% Corpus,6,0.9099999999999999,symmetric,0.4298633852018466
75% Corpus,6,symmetric,0.01,0.41469590468675044
75% Corpus,6,symmetric,0.31,0.4069042566527492
75% Corpus,6,symmetric,0.61,0.42340998495201404
75% Corpus,6,symmetric,0.9099999999999999,0.4210283441685616
75% Corpus,6,symmetric,symmetric,0.41109280257939623
75% Corpus,6,asymmetric,0.01,0.3981936400034261
75% Corpus,6,asymmetric,0.31,0.33012715652997665
75% Corpus,6,asymmetric,0.61,0.2931514672479663
75% Corpus,6,asymmetric,0.9099999999999999,0.3423443006508892
75% Corpus,6,asymmetric,symmetric,0.37604749985779756
75% Corpus,7,0.01,0.01,0.40022680593735194
75% Corpus,7,0.01,0.31,0.4237892523444433
75% Corpus,7,0.01,0.61,0.3789259569066008
75% Corpus,7,0.01,0.9099999999999999,0.4196916911864265
75% Corpus,7,0.01,symmetric,0.4319812945877114
75% Corpus,7,0.31,0.01,0.43802798294354234
75% Corpus,7,0.31,0.31,0.4248577552734913
75% Corpus,7,0.31,0.61,0.43764137392712693
75% Corpus,7,0.31,0.9099999999999999,0.4147929882610996
75% Corpus,7,0.31,symmetric,0.43323372912482877
75% Corpus,7,0.61,0.01,0.42226455961393633
75% Corpus,7,0.61,0.31,0.42680701292044193
75% Corpus,7,0.61,0.61,0.4173462372930793
75% Corpus,7,0.61,0.9099999999999999,0.396900963680312
75% Corpus,7,0.61,symmetric,0.4225069535179685
75% Corpus,7,0.9099999999999999,0.01,0.40808312843906736
75% Corpus,7,0.9099999999999999,0.31,0.41894355868998157
75% Corpus,7,0.9099999999999999,0.61,0.3911145109864226
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.37920470962196645
75% Corpus,7,0.9099999999999999,symmetric,0.4250600883864012
75% Corpus,7,symmetric,0.01,0.39075030197990906
75% Corpus,7,symmetric,0.31,0.42530518867873784
