Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.386120004537835
100% Corpus,9,0.31,symmetric,0.42551361958259387
100% Corpus,9,0.61,0.01,0.4125672241424439
100% Corpus,9,0.61,0.31,0.38921559458925714
100% Corpus,9,0.61,0.61,0.36191955445332474
100% Corpus,9,0.61,0.9099999999999999,0.3409959588858975
100% Corpus,9,0.61,symmetric,0.411370602877604
100% Corpus,9,0.9099999999999999,0.01,0.40585486637367557
100% Corpus,9,0.9099999999999999,0.31,0.3978693009736356
100% Corpus,9,0.9099999999999999,0.61,0.35893116458162533
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.31025500800781913
100% Corpus,9,0.9099999999999999,symmetric,0.40584560457642693
100% Corpus,9,symmetric,0.01,0.39783125693980675
100% Corpus,9,symmetric,0.31,0.3967796474755987
100% Corpus,9,symmetric,0.61,0.41164552238819735
100% Corpus,9,symmetric,0.9099999999999999,0.39820488190175374
100% Corpus,9,symmetric,symmetric,0.39385221968166007
100% Corpus,9,asymmetric,0.01,0.3780270245972197
100% Corpus,9,asymmetric,0.31,0.31734614184635024
100% Corpus,9,asymmetric,0.61,0.3163491292055365
100% Corpus,9,asymmetric,0.9099999999999999,0.377310788135294
100% Corpus,9,asymmetric,symmetric,0.34020350620314566
100% Corpus,10,0.01,0.01,0.39159642496137986
100% Corpus,10,0.01,0.31,0.40038816729126536
100% Corpus,10,0.01,0.61,0.3663358060136138
100% Corpus,10,0.01,0.9099999999999999,0.39118697029199795
100% Corpus,10,0.01,symmetric,0.40342747340515095
100% Corpus,10,0.31,0.01,0.4181379193765912
100% Corpus,10,0.31,0.31,0.3992190852441667
100% Corpus,10,0.31,0.61,0.3838549173612385
100% Corpus,10,0.31,0.9099999999999999,0.35569728343027335
100% Corpus,10,0.31,symmetric,0.4214488016962462
100% Corpus,10,0.61,0.01,0.411410547804563
100% Corpus,10,0.61,0.31,0.38405853137640783
100% Corpus,10,0.61,0.61,0.35265120280285983
100% Corpus,10,0.61,0.9099999999999999,0.3295009309859242
100% Corpus,10,0.61,symmetric,0.4136538071569407
100% Corpus,10,0.9099999999999999,0.01,0.40876659184885245
100% Corpus,10,0.9099999999999999,0.31,0.3733509535578839
100% Corpus,10,0.9099999999999999,0.61,0.3400720159162142
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.39209005669534036
100% Corpus,10,0.9099999999999999,symmetric,0.39423844594577606
100% Corpus,10,symmetric,0.01,0.38779390045539375
100% Corpus,10,symmetric,0.31,0.40236880847269507
100% Corpus,10,symmetric,0.61,0.40092467266030185
100% Corpus,10,symmetric,0.9099999999999999,0.38854731691263167
100% Corpus,10,symmetric,symmetric,0.4014955269669609
100% Corpus,10,asymmetric,0.01,0.35093147456279494
100% Corpus,10,asymmetric,0.31,0.33406062507806433
100% Corpus,10,asymmetric,0.61,0.3525822574269567
100% Corpus,10,asymmetric,0.9099999999999999,0.2542356826789614
100% Corpus,10,asymmetric,symmetric,0.3411890893108281
