text,text_clean
"Ancaman varian Omicron mulai mengintai, Covid-19 di Indonesia masih cukup terkendali. Percepatan vaksinasi tetap me… https://t.co/jQjqlOm38j",ancaman varian omicron mengintai covid indonesia terkendali percepatan vaksinasi me
Presiden Afsel nyatakan pihaknya terus mengawasi tingkat infeksi dan rawat inap untuk antisipasi lonjakan pasien ak… https://t.co/6NhVLm98jo,presiden afsel nyatakan mengawasi tingkat infeksi rawat inap antisipasi lonjakan pasien ak
"Ifundwe kakhulu #MarsHillBlog Post of the week.
Esixwayisweni se-WHO ngengozi enkulu emhlabeni wonke evela ku-Omicr… https://t.co/kitmCbVcHm",ifundwe kakhulu marshillblog post of the week esixwayisweni sewho ngengozi enkulu emhlabeni wonke evela kuomicr
"Postingan #MarsHillBlog paling banyak dibaca minggu ini.
Pada peringatan WHO tentang risiko tinggi di seluruh Globe… https://t.co/Jc28aEoXt2",postingan marshillblog dibaca minggu peringatan who risiko globe
Waspada! Varian Omicron Masuk Thailand https://t.co/KZL3O0JqDQ #Omicron #Thailand #VarianOmicron https://t.co/oa3jLErxok,waspada varian omicron masuk thailand omicron thailand varianomicron
"Perlukah vaksinasi dosis ketiga untuk cegah varian Omicron?

#merahputihcom #vaksinasi #omicron https://t.co/9oeXgtsKis",vaksinasi dosis ketiga cegah varian omicron merahputihcom vaksinasi omicron
"RT @KompasData: Ketika Afrika disorot karena varian Omicron, dunia alpa bahwa ada negara-negara miskin di sana kurang mendapat jatah vaksin…",afrika disorot varian omicron dunia alpa negaranegara miskin jatah vaksin
Cara paling berkesan mencegah varian #omicron adalah kesedaran orang ramai mengenai kepentingan menjaga &amp; amalkan n… https://t.co/nPp0Kw0A3z,berkesan mencegah varian omicron kesedaran orang ramai kepentingan menjaga amalkan n
"Saringan ketat COVID-19 di pintu masuk negara, PCR, status lengkap vaksinasi dan pematuhan SOP cukup untuk memastik… https://t.co/qg87WD0Wtg",saringan ketat covid pintu masuk negara pcr status lengkap vaksinasi pematuhan sop memastik
"semua org perlu bantu supaya kurangkan beban. 

kalau tidak mahu sukarela, #optout.
https://t.co/wakfbDzpfh
doktor,… https://t.co/pps0pCv147",org bantu kurangkan beban mahu sukarela optout doktor
"Kasus varian Omicron terdeteksi di kapal pesiar Norwegia.

Selengkapnya: 👇🏻 #Omicron https://t.co/ZaxP2jbWgC",varian omicron terdeteksi kapal pesiar norwegia omicron
