tweet
@detikcom #pelecehanseksual #menolaklupa
"Aku jd korban pelecehan kok malah dicampakkan, hnya Krn tak ada bukti jadinya dicampakkan keluarga seenaknya 😥😞. Ha… https://t.co/eFy58yxLZA"
"Tuntaskan Kasus Dan Akarnya

#Jokowi #hukum #Polri #kapolri #ASNPolri #KPK #pelecehanseksual #korupsi #KPKUpdates… https://t.co/xFPF4eXaxd"
Ada 2 laporan terpisah atas dosen A. Dimana laporan pertama dengan korban mahasiswi berinisal DR. Kemudian laporan… https://t.co/QGQDKoOQEQ
"💔

#pelecehanseksual 
#kekerasanseksual 
#perempuan
#wanita
#mentalillness 
#mentalhealthsupport https://t.co/Mo3UmRlBKg"
"Setelah lama malang melintang, tiba2 Siskaeee ditangkap. Jangan sampe kasus Randy ""The Rapist"" dan pelecehan mahasi… https://t.co/gwB0IUrBGN"
RT @EGaga99: Dimana tingkat keadilan terhadap korban pelecehan seksual ? Bagaimana para korban berani speak up tentang hal ini kalau saat m…
"Jadi gimana nih kasus laki laki brengsek?tidak kalah horor bukan😔
#Thread #pelecehanseksual #TheOneAndOnly"
"Usai penyelidikan dan penyidikan, Polda Sumatra Selatan akhirnya menetapkan dosen Universitas Sriwijaya berinisial… https://t.co/QCchEa0U3X"
"RT @Correcto_ID: Eh..eh..eh.. bapak Reza dosen kan…

#InisialR #Reza #Unsri #DosenUnsri #KampusUnsri #PelecehanSeksual #PelecehandiUnsri ht…"
@CNNIndonesia Serok !! #RUUPKS #unsri #pelecehanseksual
"Astaga! Dosen Bimbingan Minta Foto Seksi ke Mahasiswi, Netizen: Bejat!

Baca selengkapnya disini… https://t.co/cUlqU4jBA0"
"Jika Terbukti Memperkosa, Bripda Randy didesak Dijerat Pasal Berlapis

#noviawidyasari #SAVENOVIAWIDYASARI … https://t.co/bNqgEcbWIz"
"Viral ! Setelah Kasus Novia Widiasari, Kini Ada Warganet yang Berani Speak Up Karena Kisahnya Sama-Sama Miris… https://t.co/gxQ6EhN1sn"
"Eh..eh..eh.. bapak Reza dosen kan…

#InisialR #Reza #Unsri #DosenUnsri #KampusUnsri #PelecehanSeksual… https://t.co/5jN6Nq0Wco"
"Camat Ini Cabuli Staf Wanita di Ruang Kerja, Digerayangi hingga Trauma #pelecehanseksual #cabul  https://t.co/CvekOGzcwg"
Kalian tau gak kalau hampir seluruh perempuan yang orang tuanya gak lengkap tuhh menerima #pelecehanseksual sedari… https://t.co/Mu2A578t5m
"Please, stop pelecehan seksual.

#pelecehanseksual 
#stoppelecehan
#SAVENOVIAWIDYASARI"
